"hardness","noise","training_size","size","training_function","test_accuracy","training_time"
0.2,0.2,100,1,"train_bp",0.972972972972973,7780.317
0.2,0.2,100,1,"train_ga",0.666666666666667,7784.552
0.2,0.2,100,1,"train_es",0.96996996996997,7797.967
0.2,0.2,100,10,"train_bp",0.944944944944945,7797.981
0.2,0.2,100,10,"train_ga",0.813813813813814,7809.295
0.2,0.2,100,10,"train_es",0.965965965965966,7823.033
0.2,0.2,100,20,"train_bp",0.931931931931932,7823.061
0.2,0.2,100,20,"train_ga",0.942942942942943,7830.483
0.2,0.2,100,20,"train_es",0.96996996996997,7852.223
0.2,0.2,500,1,"train_bp",0.269269269269269,7852.229
0.2,0.2,500,1,"train_ga",0.970970970970971,7859.138
0.2,0.2,500,1,"train_es",0.975975975975976,7875.226
0.2,0.2,500,10,"train_bp",0.956956956956957,7875.271
0.2,0.2,500,10,"train_ga",0.942942942942943,7896.097
0.2,0.2,500,10,"train_es",0.956956956956957,7916.37
0.2,0.2,500,20,"train_bp",0.958958958958959,7916.448
0.2,0.2,500,20,"train_ga",0.943943943943944,7937.624
0.2,0.2,500,20,"train_es",0.95995995995996,7958.578
0.2,2,100,1,"train_bp",0.648648648648649,7958.582
0.2,2,100,1,"train_ga",0.607607607607608,7963.386
0.2,2,100,1,"train_es",0.597597597597598,7976.385
0.2,2,100,10,"train_bp",0.544544544544545,7976.397
0.2,2,100,10,"train_ga",0.597597597597598,7981.205
0.2,2,100,10,"train_es",0.562562562562563,7996.401
0.2,2,100,20,"train_bp",0.53953953953954,7996.427
0.2,2,100,20,"train_ga",0.573573573573574,8004.511
0.2,2,100,20,"train_es",0.597597597597598,8020.954
0.2,2,500,1,"train_bp",0.648648648648649,8020.97
0.2,2,500,1,"train_ga",0.645645645645646,8032.271
0.2,2,500,1,"train_es",0.650650650650651,8048.305
0.2,2,500,10,"train_bp",0.606606606606607,8048.362
0.2,2,500,10,"train_ga",0.655655655655656,8068.111
0.2,2,500,10,"train_es",0.618618618618619,8088.31
0.2,2,500,20,"train_bp",0.590590590590591,8088.41
0.2,2,500,20,"train_ga",0.592592592592593,8111.151
0.2,2,500,20,"train_es",0.625625625625626,8132.614
2,0.2,100,1,"train_bp",1,8132.619
2,0.2,100,1,"train_ga",0.998998998998999,8138.677
2,0.2,100,1,"train_es",0.996996996996997,8152.039
2,0.2,100,10,"train_bp",1,8152.05
2,0.2,100,10,"train_ga",0.983983983983984,8157.638
2,0.2,100,10,"train_es",0.996996996996997,8172.187
2,0.2,100,20,"train_bp",1,8172.209
2,0.2,100,20,"train_ga",1,8179.388
2,0.2,100,20,"train_es",0.998998998998999,8198.091
2,0.2,500,1,"train_bp",1,8198.104
2,0.2,500,1,"train_ga",1,8204.167
2,0.2,500,1,"train_es",1,8219.594
2,0.2,500,10,"train_bp",1,8219.636
2,0.2,500,10,"train_ga",1,8225.81
2,0.2,500,10,"train_es",0.998998998998999,8244.89
2,0.2,500,20,"train_bp",1,8244.961
2,0.2,500,20,"train_ga",0.998998998998999,8253.482
2,0.2,500,20,"train_es",1,8277.209
2,2,100,1,"train_bp",0.881881881881882,8277.214
2,2,100,1,"train_ga",0.872872872872873,8288.533
2,2,100,1,"train_es",0.860860860860861,8301.279
2,2,100,10,"train_bp",0.808808808808809,8301.291
2,2,100,10,"train_ga",0.820820820820821,8306.365
2,2,100,10,"train_es",0.870870870870871,8321.566
2,2,100,20,"train_bp",0.798798798798799,8321.591
2,2,100,20,"train_ga",0.817817817817818,8337.832
2,2,100,20,"train_es",0.830830830830831,8359.335
2,2,500,1,"train_bp",0.8998998998999,8359.347
2,2,500,1,"train_ga",0.866866866866867,8374.974
2,2,500,1,"train_es",0.896896896896897,8394.094
2,2,500,10,"train_bp",0.860860860860861,8394.146
2,2,500,10,"train_ga",0.878878878878879,8418.412
2,2,500,10,"train_es",0.882882882882883,8440.255
2,2,500,20,"train_bp",0.858858858858859,8440.357
2,2,500,20,"train_ga",0.854854854854855,8464.49
2,2,500,20,"train_es",0.852852852852853,8493.057
